name	turn	URI	SDK	policy	outcome	time	excp_type	heuristic1	heuristic2	bug?	bug_ID	bug_link
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_UpdateRowInParallel	5	orleanstest12.table.core.windows.netPOST/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:666:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.UpdateTwoTableEntriesConditionallyAsync[](?)	timeout_blind	Failed	13.7033245s	Assertion	False	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_GetGateways	4	orleanstest12.table.core.windows.netPOST/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:620:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.InsertTwoTableEntriesConditionallyAsync[](?)	timeout_blind	Failed	10.1564065s	Assertion	False	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_UpdateIAmAlive	5	orleanstest12.table.core.windows.netPOST/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:620:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.InsertTwoTableEntriesConditionallyAsync[](?)	timeout_blind	Failed	10.031353s	Assertion	False	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_GetGateways	2	orleanstest12.table.core.windows.netPOST/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	12.2657866s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_Init	2	orleanstest12.table.core.windows.netPOST/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	10.0157814s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_InsertRow	2	orleanstest12.table.core.windows.netPOST/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	10.1721386s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_ReadAll_EmptyTable	2	orleanstest12.table.core.windows.netPOST/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	9.9845483s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_ReadAll_Insert_ReadAll	2	orleanstest12.table.core.windows.netPOST/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	10.2188937s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_ReadRow_Insert_Read	2	orleanstest12.table.core.windows.netPOST/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	10.6876764s	System.AggregateException	True	True			
Tester.AzureUtils.AzureMembershipTableTests.MembershipTable_Azure_UpdateIAmAlive	3	orleanstest12.table.core.windows.netPOST/$batch	C:\Users\anna\orleans\src\Azure\Shared\Storage\AzureTableDataManager.cs:483:Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken):Orleans.Clustering.AzureStorage.AzureTableDataManager`1.DeleteTableEntriesAsync[](?)	timeout_blind	Failed	10.265761s	System.AggregateException	True	True			
