REST	NUM
127.0.0.1:10000 PUT Path = /devstoreaccount1/test-blob-container-name status_code = 409 reason_phrase = The specified container already exists. restype=['container']	1
127.0.0.1:10000 PUT Path = /devstoreaccount1/test-blob-container-name/testleasecategory-a22a0550-b14c-409d-9dc8-799d6bc5a9a9.json status_code = 408 reason_phrase = Created injected	1
127.0.0.1:10000 PUT Path = /devstoreaccount1/test-blob-container-name/testleasecategory-a22a0550-b14c-409d-9dc8-799d6bc5a9a9.json status_code = 201 reason_phrase = Created	1
127.0.0.1:10000 PUT Path = /devstoreaccount1/test-blob-container-name/testleasecategory-a22a0550-b14c-409d-9dc8-799d6bc5a9a9.json status_code = 201 reason_phrase = Created comp=['lease']	1
127.0.0.1:10000 PUT Path = /devstoreaccount1/test-blob-container-name/testleasecategory-2e082ada-00f7-4663-b5b6-0d7e5914b832.json status_code = 201 reason_phrase = Created	1
127.0.0.1:10000 PUT Path = /devstoreaccount1/test-blob-container-name/testleasecategory-2e082ada-00f7-4663-b5b6-0d7e5914b832.json status_code = 201 reason_phrase = Created comp=['lease']	1
127.0.0.1:10000 PUT Path = /devstoreaccount1/test-blob-container-name/testleasecategory-a22a0550-b14c-409d-9dc8-799d6bc5a9a9.json status_code = 200 reason_phrase = OK comp=['lease']	1
127.0.0.1:10000 PUT Path = /devstoreaccount1/test-blob-container-name/testleasecategory-2e082ada-00f7-4663-b5b6-0d7e5914b832.json status_code = 200 reason_phrase = OK comp=['lease']	1
