REST_API	TESTS_CALLING_THE_REST_API
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt 'dc13bc8c0d1742feaf7aa2e4fd32cbc1_') and (PartitionKey le 'dc13bc8c0d1742feaf7aa2e4fd32cbc1_00D8C365')) or ((PartitionKey gt 'dc13bc8c0d1742feaf7aa2e4fd32cbc1_F4563C63') and (PartitionKey lt 'dc13bc8c0d1742feaf7aa2e4fd32cbc1`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt 'e477e4a12ba245a086877aa7be959f10_') and (PartitionKey le 'e477e4a12ba245a086877aa7be959f10_01E75F5B')) or ((PartitionKey gt 'e477e4a12ba245a086877aa7be959f10_FC89B6E4') and (PartitionKey lt 'e477e4a12ba245a086877aa7be959f10`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq '04c67a0762fd4580a07d797b24adcea4_555CE431') and ((RowKey gt 'remindertestgrain2_5e792cc3ef7443dda9b0abad6d25f253-') and (RowKey le 'remindertestgrain2_5e792cc3ef7443dda9b0abad6d25f253.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq '04c67a0762fd4580a07d797b24adcea4_A5D17F25') and ((RowKey gt 'remindertestgrain2_db0cae8fd87845a39364396bac939bbf-') and (RowKey le 'remindertestgrain2_db0cae8fd87845a39364396bac939bbf.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq '6e94c9fef5fa4ae6b8045a4368659ced_241A822C') and ((RowKey gt 'remindertestgrain2_8ed5f6e1d3114a3caf5d9e5758c1c4bb-') and (RowKey le 'remindertestgrain2_8ed5f6e1d3114a3caf5d9e5758c1c4bb.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq '6e94c9fef5fa4ae6b8045a4368659ced_FBA910F8') and ((RowKey gt 'remindertestgrain2_906cc04d08e64d7cae47c0144297cea1-') and (RowKey le 'remindertestgrain2_906cc04d08e64d7cae47c0144297cea1.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq '78c28f64e370467d89b14ee0a2c7a205_582BFE2C') and ((RowKey gt 'remindertestgrain2_5898baeb5a2f4980a198eb1d3aed4fcf-') and (RowKey le 'remindertestgrain2_5898baeb5a2f4980a198eb1d3aed4fcf.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq '78c28f64e370467d89b14ee0a2c7a205_979E26E9') and ((RowKey gt 'remindertestgrain2_d628d2820feb46e4af906793c370ceca-') and (RowKey le 'remindertestgrain2_d628d2820feb46e4af906793c370ceca.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq '7bb97d31556347ddadcaaa0f62c809c6_7C8C0065') and ((RowKey gt 'remindertestgrain2_c2e38eaab3b0431e886db8020db3326d-') and (RowKey le 'remindertestgrain2_c2e38eaab3b0431e886db8020db3326d.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq '7bb97d31556347ddadcaaa0f62c809c6_CD7CCD72') and ((RowKey gt 'remindertestgrain2_f70086d9e4e64141933f993f8b7edd73-') and (RowKey le 'remindertestgrain2_f70086d9e4e64141933f993f8b7edd73.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq '834921b01be64e2ca80850858e7cf9ba_A4B00E28') and ((RowKey gt 'remindertestgrain2_d2b03b932b6041ee8bddaa00be007409-') and (RowKey le 'remindertestgrain2_d2b03b932b6041ee8bddaa00be007409.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq '834921b01be64e2ca80850858e7cf9ba_B1B59F59') and ((RowKey gt 'remindertestgrain2_487db2f963f549c09eed4a088611129e-') and (RowKey le 'remindertestgrain2_487db2f963f549c09eed4a088611129e.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq 'a3245c6f84fa4e86a00df0c1488652bb_28DD2957') and ((RowKey gt 'remindertestgrain2_804afd2cf2e649b1945e38b4e2e5ace9-') and (RowKey le 'remindertestgrain2_804afd2cf2e649b1945e38b4e2e5ace9.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq 'a3245c6f84fa4e86a00df0c1488652bb_3CE3020A') and ((RowKey gt 'remindertestgrain2_81ffbce0528a4147a61d059a7bfdb058-') and (RowKey le 'remindertestgrain2_81ffbce0528a4147a61d059a7bfdb058.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq 'dc13bc8c0d1742feaf7aa2e4fd32cbc1_5B165F0C') and ((RowKey gt 'remindertestgrain2_1dd1b81612f64d549bce831c0bc3ffc5-') and (RowKey le 'remindertestgrain2_1dd1b81612f64d549bce831c0bc3ffc5.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"orleanstest12.table.core.windows.net GET Path = /OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""(PartitionKey eq 'dc13bc8c0d1742feaf7aa2e4fd32cbc1_86C77359') and ((RowKey gt 'remindertestgrain2_cd74bf8b052a44d0bb18190fa863c5f2-') and (RowKey le 'remindertestgrain2_cd74bf8b052a44d0bb18190fa863c5f2.'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
