REST_API	TESTS_CALLING_THE_REST_API
127.0.0.1:10002 DELETE Path = /devstoreaccount1/OrleansReminders(PartitionKey='1507ba3e3e1c48b8985b178f7310c876_38AFD50F',RowKey='remindertestgrain2_8d2ed772fcbe414d8dd99e87c052d597-DEFAULT_REMINDER') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
127.0.0.1:10002 DELETE Path = /devstoreaccount1/OrleansReminders(PartitionKey='3b8b371c12ba42f58a1d522bbd852c50_E4643EAE',RowKey='remindertestgrain2_fd9ee5b140ea44758753fb3152e3be1f-DEFAULT_REMINDER') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
127.0.0.1:10002 DELETE Path = /devstoreaccount1/OrleansReminders(PartitionKey='71545e86f5094588ab1c6a140876c978_7A7EF900',RowKey='remindertestgrain2_d36bcf65f1e046bcac9d4d8edef261ea-DEFAULT_REMINDER') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
127.0.0.1:10002 DELETE Path = /devstoreaccount1/OrleansReminders(PartitionKey='ba8c309c3d4e49d0b1b5ce0a8557aae0_580BFE0E',RowKey='remindertestgrain2_9a0e185078564c15b445973a93050e27-DEFAULT_REMINDER') status_code = 404 reason_phrase = Not Found $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
127.0.0.1:10002 DELETE Path = /devstoreaccount1/OrleansReminders(PartitionKey='ba8c309c3d4e49d0b1b5ce0a8557aae0_580BFE0E',RowKey='remindertestgrain2_9a0e185078564c15b445973a93050e27-DEFAULT_REMINDER') status_code = 408 reason_phrase = No Content injected $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt '006647e00d06467686e3d5e203de34f9_') and (PartitionKey le '006647e00d06467686e3d5e203de34f9_0470460D')) or ((PartitionKey gt '006647e00d06467686e3d5e203de34f9_FE31A718') and (PartitionKey lt '006647e00d06467686e3d5e203de34f9`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt '1507ba3e3e1c48b8985b178f7310c876_') and (PartitionKey le '1507ba3e3e1c48b8985b178f7310c876_083F8D33')) or ((PartitionKey gt '1507ba3e3e1c48b8985b178f7310c876_E9DA5582') and (PartitionKey lt '1507ba3e3e1c48b8985b178f7310c876`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt '3b8b371c12ba42f58a1d522bbd852c50_') and (PartitionKey le '3b8b371c12ba42f58a1d522bbd852c50_0143D2FC')) or ((PartitionKey gt '3b8b371c12ba42f58a1d522bbd852c50_F2274BA9') and (PartitionKey lt '3b8b371c12ba42f58a1d522bbd852c50`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_Restart']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt '3c1ddc580de84c2ea126535aaf6fce6f_') and (PartitionKey le '3c1ddc580de84c2ea126535aaf6fce6f_01D56908')) or ((PartitionKey gt '3c1ddc580de84c2ea126535aaf6fce6f_FE408D5D') and (PartitionKey lt '3c1ddc580de84c2ea126535aaf6fce6f`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansReminders() status_code = 200 reason_phrase = OK $filter=[""((PartitionKey gt '6477558a2a174caebc0a7f259fbd46b0_') and (PartitionKey le '6477558a2a174caebc0a7f259fbd46b0_002164EF')) or ((PartitionKey gt '6477558a2a174caebc0a7f259fbd46b0_FF88ED0E') and (PartitionKey lt '6477558a2a174caebc0a7f259fbd46b0`'))""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.TimerTests.ReminderTests_AzureTable.Rem_Azure_Basic_ListOps']
