REST_API	TESTS_CALLING_THE_REST_API
REST	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_AzureTableGrainStorage_SiloRestart', 'Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKeyExtended_AzureTableGrainStorage_Read_Write', 'Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKey_AzureTableGrainStorage_Read_Write', 'Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_LongKeyExtended_AzureTableGrainStorage_Read_Write', 'Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_LongKey_AzureTableGrainStorage_Read_Write']
array513.prod.do.dsp.mp.microsoft.com POST Path = /join/ status_code = 200 reason_phrase = OK	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_LongKeyExtended_AzureTableGrainStorage_Read_Write', 'Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_LongKey_AzureTableGrainStorage_Read_Write']
az700632.vo.msecnd.net GET Path = /pub/FlightsData/DisabledFlights.json status_code = 304 reason_phrase = Not Modified	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_AzureTableGrainStorage_SiloRestart', 'Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_LongKeyExtended_AzureTableGrainStorage_Read_Write']
az700632.vo.msecnd.net GET Path = /pub/FlightsData/ShippedFlights.json status_code = 304 reason_phrase = Not Modified	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_AzureTableGrainStorage_SiloRestart', 'Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_LongKeyExtended_AzureTableGrainStorage_Read_Write']
az700632.vo.msecnd.net GET Path = /pub/RemoteSettings/Default.json status_code = 404 reason_phrase = Not Found	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_LongKey_AzureTableGrainStorage_Read_Write']
az700632.vo.msecnd.net GET Path = /pub/RemoteSettings/RemoteSettings_Common_17.0.json status_code = 304 reason_phrase = Not Modified	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_LongKeyExtended_AzureTableGrainStorage_Read_Write']
checkappexec.microsoft.com POST Path = /windows/shell/actions status_code = 200 reason_phrase = OK	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_AzureTableGrainStorage_SiloRestart']
disc501.prod.do.dsp.mp.microsoft.com GET Path = /v2/content/7a76f08b6d6baa1e54000c73dfe782bbbeefce7f status_code = 200 reason_phrase = OK doClientVersion=['10.0.19041.2311'] partitionId=['3'] CacheId=['7'] altCatalogId=['http://au.download.windowsupdate.com/c/msdownload/update/software/updt/2022/12/windows10.0-kb5022405-x64-ndp48_7a76f08b6d6baa1e54000c73dfe782bbbeefce7f.cab'] profile=['1114368']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_LongKey_AzureTableGrainStorage_Read_Write']
edge.microsoft.com GET Path = /extensionrevocation/v1/threatListUpdates:fetch status_code = 200 reason_phrase = OK ct=['application/x-protobuf'] key=['d414dd4f9db345fa8003e32adc81b362'] req=['ChcKBm1zZWRnZRINMTA5LjAuMTUxOC42MRobCAEQCBoNMTY3NDQ1NDk5OTcyMiIEIAEgAigEIgIIAQ==']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKeyExtended_AzureTableGrainStorage_Read_Write']
marketplace.visualstudio.com OPTIONS Path = /_apis/public/gallery/extensionquery status_code = 200 reason_phrase = OK	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKeyExtended_AzureTableGrainStorage_Read_Write']
marketplace.visualstudio.com POST Path = /_apis/public/gallery/extensionquery status_code = 503 reason_phrase = Service Unavailable	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKeyExtended_AzureTableGrainStorage_Read_Write']
nav.smartscreen.microsoft.com POST Path = /windows/browser/edge/actions status_code = 200 reason_phrase = OK	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_AzureTableGrainStorage_SiloRestart']
orleanstest12.table.core.windows.net GET Path = /OrleansGrainState(PartitionKey='09ae3fab5203426e8e75f88caa05ed05_new-test-storage-grain-with-extended-key_e70de33d40e64c80879873169608cf35%2B1146629597',RowKey='state') status_code = 200 reason_phrase = OK $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKeyExtended_AzureTableGrainStorage_Read_Write']
orleanstest12.table.core.windows.net GET Path = /OrleansGrainState(PartitionKey='09ae3fab5203426e8e75f88caa05ed05_new-test-storage-grain-with-extended-key_e70de33d40e64c80879873169608cf35%2B1146629597',RowKey='state') status_code = 404 reason_phrase = Not Found $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKeyExtended_AzureTableGrainStorage_Read_Write']
orleanstest12.table.core.windows.net GET Path = /OrleansGrainState(PartitionKey='2108945f214f46afb6e78ead34c7e6f0_new-test-storage-grain_69d36b5b02234dafa4e163281576bd43',RowKey='state') status_code = 200 reason_phrase = OK $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKey_AzureTableGrainStorage_Read_Write']
orleanstest12.table.core.windows.net GET Path = /OrleansGrainState(PartitionKey='2108945f214f46afb6e78ead34c7e6f0_new-test-storage-grain_69d36b5b02234dafa4e163281576bd43',RowKey='state') status_code = 404 reason_phrase = Not Found $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKey_AzureTableGrainStorage_Read_Write']
orleanstest12.table.core.windows.net GET Path = /OrleansGrainState(PartitionKey='216e3b40596d4c2ba67505fa1f93c02a_new-test-storage-grain-with-extended-key_601b3d80e19d4998a5af150219c293f2%2B934849255',RowKey='state') status_code = 200 reason_phrase = OK $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKeyExtended_AzureTableGrainStorage_Read_Write']
