REST_API	TESTS_CALLING_THE_REST_API
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=[""PartitionKey eq 'test-0039a776-ccca-4c96-8283-d0f1a423121b'""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.SiloInstanceTableManagerTests.SiloInstanceTable_Op_UnregisterSiloInstance']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=[""PartitionKey eq 'test-0456d23b-2f51-4088-915c-602600351bda'""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.SiloInstanceTableManagerTests.SiloInstanceTable_Op_CleanDeadSiloInstance']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=[""PartitionKey eq 'test-06791a61-10be-4305-bf40-f5c3ee7d402f'""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.SiloInstanceTableManagerTests.SiloInstanceTable_Register_CheckData']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=[""PartitionKey eq 'test-09853607-ec2a-48b4-9ef4-985fea67360a'""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.SiloInstanceTableManagerTests.SiloInstanceTable_Register_CheckData']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=[""PartitionKey eq 'test-0b012ad6-eed7-498c-8a8a-19e91fbf1e81'""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.SiloInstanceTableManagerTests.SiloInstanceTable_Op_ActivateSiloInstance']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=[""PartitionKey eq 'test-0c01f197-864d-4921-b7c1-cfdac1c972ca'""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.SiloInstanceTableManagerTests.SiloInstanceTable_Op_UnregisterSiloInstance']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=[""PartitionKey eq 'test-10108393-1951-4f04-a1c6-88e39689bf95'""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.SiloInstanceTableManagerTests.SiloAddress_ToFrom_RowKey']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=[""PartitionKey eq 'test-1226bf20-d030-4e21-bf51-c1d749f027e3'""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.SiloInstanceTableManagerTests.SiloInstanceTable_Op_UnregisterSiloInstance']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=[""PartitionKey eq 'test-191a1e8b-15e6-4b05-876c-ceb38d6bef9d'""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.SiloInstanceTableManagerTests.SiloInstanceTable_Register_CheckData']
"127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=[""PartitionKey eq 'test-1cee0089-21bd-4b92-9c78-a900d3a6fb45'""] $format=['application/json;odata=minimalmetadata']"	['Tester.AzureUtils.SiloInstanceTableManagerTests.SiloInstanceTable_Op_RegisterSiloInstance']
