SDK_API	TESTS_CALLING_THE_SDK_API
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.CreateIfNotExistsAsync(System.Collections.Generic.IDictionary`2[string,string],System.Threading.CancellationToken)	['Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_1', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_2', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_3_Init_MultipleThreads', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_4']
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.DeleteIfExistsAsync(System.Threading.CancellationToken)	['Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_1', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_2', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_3_Init_MultipleThreads', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_4']
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.DeleteMessageAsync(string,string,System.Threading.CancellationToken)	['Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_1', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_2', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_4']
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.GetPropertiesAsync(System.Threading.CancellationToken)	['Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_1', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_2', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_4']
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.PeekMessagesAsync(System.Nullable`1[int],System.Threading.CancellationToken)	['Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_1']
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.ReceiveMessagesAsync(System.Nullable`1[int],System.Nullable`1[System.TimeSpan],System.Threading.CancellationToken)	['Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_1', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_2', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_4']
Azure.Storage.Queues;Azure.Storage.Queues.QueueClient.SendMessageAsync(string)	['Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_1', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_2', 'Tester.AzureUtils.AzureQueueDataManagerTests.AQ_Standalone_4']
Azure.Data.Tables;Azure.Data.Tables.TableClient.CreateIfNotExistsAsync(System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableDataManagerStressTests.AzureTableDataManagerStressTests_ReadAllTableEntities', 'Tester.AzureUtils.AzureTableDataManagerStressTests.AzureTableDataManagerStressTests_ReadAll_SinglePartition', 'Tester.AzureUtils.AzureTableDataManagerStressTests.AzureTableDataManagerStressTests_WriteAlot_MultiPartition', 'Tester.AzureUtils.AzureTableDataManagerStressTests.AzureTableDataManagerStressTests_WriteAlot_SinglePartition', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_CreateTableEntryAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_DeleteTableAsync']
Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableDataManagerStressTests.AzureTableDataManagerStressTests_ReadAllTableEntities']
Azure.Data.Tables;Azure.Data.Tables.TableClient.UpsertEntityAsync(!!0,Azure.Data.Tables.TableUpdateMode,System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableDataManagerStressTests.AzureTableDataManagerStressTests_ReadAllTableEntities', 'Tester.AzureUtils.AzureTableDataManagerStressTests.AzureTableDataManagerStressTests_ReadAll_SinglePartition', 'Tester.AzureUtils.AzureTableDataManagerStressTests.AzureTableDataManagerStressTests_WriteAlot_MultiPartition', 'Tester.AzureUtils.AzureTableDataManagerStressTests.AzureTableDataManagerStressTests_WriteAlot_SinglePartition', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_DeleteTableAsync']
Azure.Data.Tables;Azure.Data.Tables.TableRestClient.QueryEntitiesAsync(string,System.Nullable`1[int],string,string,Azure.Data.Tables.Models.QueryOptions,System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableDataManagerStressTests.AzureTableDataManagerStressTests_ReadAllTableEntities', 'Tester.AzureUtils.AzureTableDataManagerStressTests.AzureTableDataManagerStressTests_ReadAll_SinglePartition']
Azure.Data.Tables;Azure.Data.Tables.TableClient.AddEntityAsync(!!0,System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_CreateTableEntryAsync']
Azure.Data.Tables;Azure.Data.Tables.TableClient.DeleteEntityAsync(string,string,Azure.ETag,System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_DeleteTableAsync']
