SDK_API	TESTS_CALLING_THE_SDK_API
Azure.Data.Tables;Azure.Data.Tables.TableClient.AddEntityAsync(!!0,System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_InsertTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotDeleteDifferentActivationIdEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotOverrideEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.RegisterLookupUnregisterLookup', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.UnregisterMany', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_ShortNamedGrain_EchoValue']
Azure.Data.Tables;Azure.Data.Tables.TableClient.CreateIfNotExistsAsync(System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_InsertTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_MergeTableAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_ReadSingleTableEntryAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTableEntryAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpsertTableEntryAsync', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.ConversionTest', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotDeleteDifferentActivationIdEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotOverrideEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.LookupNotFound', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.RegisterLookupUnregisterLookup', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.UnregisterMany', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_ShortNamedGrain_EchoValue']
Azure.Data.Tables;Azure.Data.Tables.TableClient.SubmitTransactionAsync(System.Collections.Generic.IEnumerable`1[Azure.Data.Tables.TableTransactionAction],System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_InsertTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.UnregisterMany']
Azure.Data.Tables;Azure.Data.Tables.TableClient.UpdateEntityAsync(!!0,Azure.ETag,Azure.Data.Tables.TableUpdateMode,System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_MergeTableAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTableEntryAsync', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_ShortNamedGrain_EchoValue']
Azure.Data.Tables;Azure.Data.Tables.TableClient.UpsertEntityAsync(!!0,Azure.Data.Tables.TableUpdateMode,System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_MergeTableAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTableEntryAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpsertTableEntryAsync']
Azure.Data.Tables;Azure.Data.Tables.TableClient.GetEntityAsync(string,string,System.Collections.Generic.IEnumerable`1[string],System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotDeleteDifferentActivationIdEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotOverrideEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.LookupNotFound', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.RegisterLookupUnregisterLookup', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.UnregisterMany', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_ShortNamedGrain_EchoValue']
Azure.Data.Tables;Azure.Data.Tables.TableClient.DeleteEntityAsync(string,string,Azure.ETag,System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableGrainDirectoryTests.RegisterLookupUnregisterLookup']
Azure.Data.Tables;Azure.Data.Tables.TableRestClient.QueryEntitiesAsync(string,System.Nullable`1[int],string,string,Azure.Data.Tables.Models.QueryOptions,System.Threading.CancellationToken)	['Tester.AzureUtils.AzureTableGrainDirectoryTests.UnregisterMany']
Azure.Storage.Blobs;Azure.Storage.Blobs.BlobClient.UploadAsync(System.BinaryData,Azure.Storage.Blobs.Models.BlobUploadOptions,System.Threading.CancellationToken)	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_ShortNamedGrain_EchoValue']
Azure.Storage.Blobs;Azure.Storage.Blobs.BlobContainerClient.CreateIfNotExistsAsync(Azure.Storage.Blobs.Models.PublicAccessType,System.Collections.Generic.IDictionary`2[string,string],Azure.Storage.Blobs.Models.BlobContainerEncryptionScopeOptions,System.Threading.CancellationToken)	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_ShortNamedGrain_EchoValue']
Azure.Storage.Blobs;Azure.Storage.Blobs.Specialized.BlobBaseClient.DeleteIfExistsAsync(Azure.Storage.Blobs.Models.DeleteSnapshotsOption,Azure.Storage.Blobs.Models.BlobRequestConditions,System.Threading.CancellationToken)	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_ShortNamedGrain_EchoValue']
Azure.Storage.Blobs;Azure.Storage.Blobs.Specialized.BlobBaseClient.DownloadContentAsync()	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_ShortNamedGrain_EchoValue']
