REST_API	TESTS_CALLING_THE_REST_API
REST	['Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_InsertTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_MergeTableAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_ReadSingleTableEntryAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTableEntryAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpdateTwoTableEntriesConditionallyAsync', 'Tester.AzureUtils.AzureTableDataManagerTests.AzureTableDataManager_UpsertTableEntryAsync', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.ConversionTest', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotDeleteDifferentActivationIdEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.DoNotOverrideEntry', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.LookupNotFound', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.RegisterLookupUnregisterLookup', 'Tester.AzureUtils.AzureTableGrainDirectoryTests.UnregisterMany', 'Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_ShortNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_LongNamedGrain_EchoValue', 'Tester.AzureUtils.General.GenericGrainsInAzureTableStorageTests.Generic_OnAzureTableStorage_ShortNamedGrain_EchoValue']
array504.prod.do.dsp.mp.microsoft.com POST Path = /join/ status_code = 200 reason_phrase = OK	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue']
checkappexec.microsoft.com POST Path = /windows/shell/actions status_code = 200 reason_phrase = OK	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue']
disc501.prod.do.dsp.mp.microsoft.com GET Path = /v2/content/c3c4ef29626acbc2b3baf5276eae7f74125fee08 status_code = 200 reason_phrase = OK doClientVersion=['10.0.19041.2311'] partitionId=['3'] CacheId=['7'] altCatalogId=['http://1A.tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/038539d5-e1ec-41ad-84d2-d56ff6f2879f'] profile=['1114368']	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue']
edge.microsoft.com GET Path = /extensionrevocation/v1/threatListUpdates:fetch status_code = 200 reason_phrase = OK ct=['application/x-protobuf'] key=['d414dd4f9db345fa8003e32adc81b362'] req=['ChcKBm1zZWRnZRINMTA5LjAuMTUxOC42MRobCAEQCBoNMTY3NDM0ODAzOTUxMiIEIAEgAigEIgIIAQ==']	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue']
login.live.com POST Path = /RST2.srf status_code = 200 reason_phrase = OK	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue']
orleanstest12.blob.core.windows.net DELETE Path = /grainstate/state-simplegenericgrainusingazurestorageandlonggrainname%601%5B%5Bint%5D%5D/364283fe8c90472b8b8bd405c2b49e02.json status_code = 202 reason_phrase = Accepted	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue']
orleanstest12.blob.core.windows.net DELETE Path = /grainstate/state-simplegenericgrainusingazurestorageandlonggrainname%601%5B%5Bint%5D%5D/9689a683da2b4bbabe9611ae3017b05c.json status_code = 404 reason_phrase = The specified blob does not exist.	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue']
orleanstest12.blob.core.windows.net DELETE Path = /grainstate/state-simplegenericgrainusingazurestorageandlonggrainname%601%5B%5Bint%5D%5D/9689a683da2b4bbabe9611ae3017b05c.json status_code = 408 reason_phrase = Accepted injected	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue']
orleanstest12.blob.core.windows.net DELETE Path = /grainstate/state-simplegenericgrainusingazurestorageandlonggrainname%601%5B%5Bint%5D%5D/e35deafe130344ebb5c60d958a1c9e28.json status_code = 202 reason_phrase = Accepted	['Tester.AzureUtils.General.GenericGrainsInAzureBlobStorageTests.Generic_OnAzureBlobStorage_LongNamedGrain_EchoValue']
