REST_API	TESTS_CALLING_THE_REST_API
127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansGrainState(PartitionKey='080812aa41824a4193fa81af1cf81867_new-test-storage-grain_adc5b644c09b4de1a82e44c313310373',RowKey='state') status_code = 200 reason_phrase = OK $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_AzureTableGrainStorage_SiloRestart']
127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansGrainState(PartitionKey='080812aa41824a4193fa81af1cf81867_new-test-storage-grain_adc5b644c09b4de1a82e44c313310373',RowKey='state') status_code = 404 reason_phrase = Not Found $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_AzureTableGrainStorage_SiloRestart']
127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansGrainState(PartitionKey='1298d25c80c442638daf3dbff04528ad_new-test-storage-grain_70663f0a94824252ba82b3e1355bc1f2',RowKey='state') status_code = 200 reason_phrase = OK $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKey_AzureTableGrainStorage_Read_Write']
127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansGrainState(PartitionKey='1298d25c80c442638daf3dbff04528ad_new-test-storage-grain_70663f0a94824252ba82b3e1355bc1f2',RowKey='state') status_code = 404 reason_phrase = Not Found $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKey_AzureTableGrainStorage_Read_Write']
127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansGrainState(PartitionKey='138fb92059e44df5812114cd9f66deb2_new-test-storage-grain_3EF3D0E3',RowKey='state') status_code = 200 reason_phrase = OK $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_LongKey_AzureTableGrainStorage_Read_Write']
127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansGrainState(PartitionKey='138fb92059e44df5812114cd9f66deb2_new-test-storage-grain_3EF3D0E3',RowKey='state') status_code = 404 reason_phrase = Not Found $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_LongKey_AzureTableGrainStorage_Read_Write']
127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansGrainState(PartitionKey='16924795f8ae45a89e3136c4878ee546_new-test-storage-grain_e4203294d23144fb935ab99d0354fafb',RowKey='state') status_code = 200 reason_phrase = OK $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_AzureTableGrainStorage_SiloRestart']
127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansGrainState(PartitionKey='16924795f8ae45a89e3136c4878ee546_new-test-storage-grain_e4203294d23144fb935ab99d0354fafb',RowKey='state') status_code = 404 reason_phrase = Not Found $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_AzureTableGrainStorage_SiloRestart']
127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansGrainState(PartitionKey='1f1170d2b8ea4762ac1343d5afb7dd65_new-test-storage-grain_d38f6ba74d774ab39ec47035433bec2d',RowKey='state') status_code = 200 reason_phrase = OK $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKey_AzureTableGrainStorage_Read_Write']
127.0.0.1:10002 GET Path = /devstoreaccount1/OrleansGrainState(PartitionKey='1f1170d2b8ea4762ac1343d5afb7dd65_new-test-storage-grain_d38f6ba74d774ab39ec47035433bec2d',RowKey='state') status_code = 404 reason_phrase = Not Found $format=['application/json;odata=minimalmetadata']	['Tester.AzureUtils.Persistence.PersistenceStateTests_AzureTableGrainStorage.Grain_GuidKey_AzureTableGrainStorage_Read_Write']
