REST	NUM
orleanstest12.table.core.windows.net POST Path = /Tables status_code = 409 reason_phrase = Conflict $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-57ec21bb-7b49-4e70-a83d-f3a76cd19dfc',RowKey='127.0.0.1-0-33530075') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net PATCH Path = /OrleansSiloInstances(PartitionKey='test-57ec21bb-7b49-4e70-a83d-f3a76cd19dfc',RowKey='127.0.0.1-0-33530075') status_code = 204 reason_phrase = No Content $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansSiloInstances() status_code = 408 reason_phrase = OK injected $filter=["PartitionKey eq 'test-57ec21bb-7b49-4e70-a83d-f3a76cd19dfc'"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net GET Path = /OrleansSiloInstances() status_code = 200 reason_phrase = OK $filter=["PartitionKey eq 'test-57ec21bb-7b49-4e70-a83d-f3a76cd19dfc'"] $format=['application/json;odata=minimalmetadata']	1
orleanstest12.table.core.windows.net POST Path = /$batch status_code = 202 reason_phrase = Accepted	1
