REST_API	TESTS_CALLING_THE_REST_API
REST	['Tester.AzureUtils.Lease.AzureBlobLeaseProviderTests.ProviderCanAcquireLeases', 'Tester.AzureUtils.Lease.AzureBlobLeaseProviderTests.ProviderCanReleaseLeases', 'Tester.AzureUtils.Lease.AzureBlobLeaseProviderTests.ProviderCanRenewLeases', 'Tester.AzureUtils.Lease.AzureBlobLeaseProviderTests.Provider_LifeCycle_Acqurie_Renew_Release_ShouldBeAbleToAcquireLeaseOnTheSameResourceAfterRelease', 'Tester.AzureUtils.Lease.AzureBlobLeaseProviderTests.Provider_TryAcquireLeaseWhichBelongToOtherEntity_Return_LeaseNotAvailable', 'Tester.AzureUtils.Lease.AzureBlobLeaseProviderTests.Provider_TryRenewLeaseWithWrongToken_Return_InvalidToken', 'Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario', 'Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportUnexpectedNodeFailureScenerio', 'Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_1', 'Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_2_Restart_Primary', 'Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_3_Restart_GW', 'Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_4_Restart_Silo_1', 'Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_5_Kill_Silo_1_With_Timers']
aka.ms GET Path = /vs/17/release/channel status_code = 301 reason_phrase = Moved Permanently	['Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_4_Restart_Silo_1']
array504.prod.do.dsp.mp.microsoft.com POST Path = /join/ status_code = 200 reason_phrase = OK	['Tester.AzureUtils.Lease.AzureBlobLeaseProviderTests.ProviderCanAcquireLeases', 'Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario', 'Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportUnexpectedNodeFailureScenerio', 'Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_2_Restart_Primary', 'Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_5_Kill_Silo_1_With_Timers']
az667904.vo.msecnd.net GET Path = /pub/Dev14/v2/dyntelconfig.json status_code = 304 reason_phrase = Not Modified	['Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_4_Restart_Silo_1']
az700632.vo.msecnd.net GET Path = /pub/FlightsData/DisabledFlights.json status_code = 304 reason_phrase = Not Modified	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportUnexpectedNodeFailureScenerio', 'Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_4_Restart_Silo_1']
az700632.vo.msecnd.net GET Path = /pub/FlightsData/ShippedFlights.json status_code = 304 reason_phrase = Not Modified	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportUnexpectedNodeFailureScenerio', 'Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_4_Restart_Silo_1']
az700632.vo.msecnd.net GET Path = /pub/RemoteSettings/RemoteSettings_Installer.json status_code = 304 reason_phrase = Not Modified	['Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_4_Restart_Silo_1']
az764295.vo.msecnd.net GET Path = /extensions/marketplace.json status_code = 304 reason_phrase = Not Modified	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportAutoScaleScenario']
config.teams.microsoft.com GET Path = /config/v1/ODSP_Sync_Client/23.002.0102.0004 status_code = 304 reason_phrase = Not Modified clientid=['40e5201a-1b75-1099-8156-251b6444f5ad'] UpdateRing=['Prod'] OS=['Win'] accountType=['Consumer'] OSSku=['48'] OSVer=['10.0.19044']	['Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_2_Restart_Primary']
disc501.prod.do.dsp.mp.microsoft.com GET Path = /v2/content/7a76f08b6d6baa1e54000c73dfe782bbbeefce7f status_code = 200 reason_phrase = OK doClientVersion=['10.0.19041.2311'] partitionId=['3'] CacheId=['7'] altCatalogId=['http://au.download.windowsupdate.com/c/msdownload/update/software/updt/2022/12/windows10.0-kb5022405-x64-ndp48_7a76f08b6d6baa1e54000c73dfe782bbbeefce7f.cab'] profile=['1114368']	['Tester.AzureUtils.Lease.AzureBlobLeaseProviderTests.ProviderCanAcquireLeases', 'Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportUnexpectedNodeFailureScenerio', 'Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_5_Kill_Silo_1_With_Timers']
download.visualstudio.microsoft.com GET Path = /download/pr/0502e0d3-64a5-4bb8-b049-6bcbea5ed247/181a83e94390cde23b03574735b145b3c98e88390a796c4b16d1e57c4d9a94ae/VisualStudio.17.Release.chman status_code = 304 reason_phrase = Not Modified	['Tester.AzureUtils.LivenessTests_AzureTable.Liveness_Azure_4_Restart_Silo_1']
edge.microsoft.com GET Path = /extensionrevocation/v1/threatListUpdates:fetch status_code = 200 reason_phrase = OK ct=['application/x-protobuf'] key=['d414dd4f9db345fa8003e32adc81b362'] req=['ChcKBm1zZWRnZRINMTA5LjAuMTUxOC42MRobCAEQCBoNMTY3NDQ1NDk5OTcyMiIEIAEgAigEIgIIAQ==']	['Tester.AzureUtils.Lease.LeaseBasedQueueBalancerTests.LeaseBalancedQueueBalancer_SupportUnexpectedNodeFailureScenerio']
