REST	NUM
orleanstest12.blob.core.windows.net PUT Path = /test-blob-container-name status_code = 409 reason_phrase = The specified container already exists. restype=['container']	1
orleanstest12.blob.core.windows.net PUT Path = /test-blob-container-name/testleasecategory-dcadcf5c-249d-481d-9ab8-41c28dfba6da.json status_code = 408 reason_phrase = Created injected	1
orleanstest12.blob.core.windows.net PUT Path = /test-blob-container-name/testleasecategory-dcadcf5c-249d-481d-9ab8-41c28dfba6da.json status_code = 201 reason_phrase = Created	1
orleanstest12.blob.core.windows.net PUT Path = /test-blob-container-name/testleasecategory-dcadcf5c-249d-481d-9ab8-41c28dfba6da.json status_code = 201 reason_phrase = Created comp=['lease']	1
orleanstest12.blob.core.windows.net PUT Path = /test-blob-container-name/testleasecategory-dcadcf5c-249d-481d-9ab8-41c28dfba6da.json status_code = 200 reason_phrase = OK comp=['lease']	1
orleanstest12.blob.core.windows.net PUT Path = /test-blob-container-name/testleasecategory-dcadcf5c-249d-481d-9ab8-41c28dfba6da.json status_code = 200 reason_phrase = OK comp=['lease']	1
orleanstest12.blob.core.windows.net PUT Path = /test-blob-container-name/testleasecategory-dcadcf5c-249d-481d-9ab8-41c28dfba6da.json status_code = 201 reason_phrase = Created	1
orleanstest12.blob.core.windows.net PUT Path = /test-blob-container-name/testleasecategory-dcadcf5c-249d-481d-9ab8-41c28dfba6da.json status_code = 201 reason_phrase = Created comp=['lease']	1
